timestamp,sub_region_code,subba-name,parent,parent-name,timezone,demand_mwh,value-units
2025-06-29,DEOK,Duke Energy Ohio/Kentucky zone,PJM,"PJM Interconnection, LLC",Eastern,84453,megawatthours
2025-06-29,DOM,Dominion Virginia Power zone,PJM,"PJM Interconnection, LLC",Eastern,427910,megawatthours
2025-06-29,DPL,Delmarva Power & Light zone,PJM,"PJM Interconnection, LLC",Eastern,65983,megawatthours
2025-06-29,DUQ,Duquesne Lighting Company zone,PJM,"PJM Interconnection, LLC",Eastern,41864,megawatthours
2025-06-29,EKPC,East Kentucky Power Cooperative zone,PJM,"PJM Interconnection, LLC",Eastern,40977,megawatthours
2025-06-29,JC,Jersey Central Power & Light zone,PJM,"PJM Interconnection, LLC",Eastern,88106,megawatthours
2025-06-29,ME,Metropolitan Edison zone,PJM,"PJM Interconnection, LLC",Eastern,46663,megawatthours
2025-06-29,PE,PECO Energy zone,PJM,"PJM Interconnection, LLC",Eastern,136888,megawatthours
2025-06-29,PEP,Potomac Electric Power zone,PJM,"PJM Interconnection, LLC",Eastern,100871,megawatthours
2025-06-29,PL,Pennsylvania Power & Light zone,PJM,"PJM Interconnection, LLC",Eastern,122001,megawatthours
2025-06-29,PN,Pennsylvania Electric zone,PJM,"PJM Interconnection, LLC",Eastern,47487,megawatthours
2025-06-29,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,155030,megawatthours
2025-06-29,RECO,Rockland Electric (East) zone,PJM,"PJM Interconnection, LLC",Eastern,5565,megawatthours
2025-06-29,ACMA,City of Acoma Pueblo,PNM,Public Service Company of New Mexico,Arizona,51,megawatthours
2025-06-29,ACMA,City of Acoma Pueblo,PNM,Public Service Company of New Mexico,Central,51,megawatthours
2025-06-29,ACMA,City of Acoma Pueblo,PNM,Public Service Company of New Mexico,Eastern,51,megawatthours
2025-06-29,ACMA,City of Acoma Pueblo,PNM,Public Service Company of New Mexico,Mountain,51,megawatthours
2025-06-29,ACMA,City of Acoma Pueblo,PNM,Public Service Company of New Mexico,Pacific,51,megawatthours
2025-06-29,CYGA,City of Gallup,PNM,Public Service Company of New Mexico,Arizona,66,megawatthours
2025-06-29,CYGA,City of Gallup,PNM,Public Service Company of New Mexico,Central,67,megawatthours
2025-06-29,CYGA,City of Gallup,PNM,Public Service Company of New Mexico,Eastern,67,megawatthours
